keyword,slug,cluster,search_intent,target_page,related_pages,suggested_title,priority,status,published_date,notes
chocolate toxicity calculator for dogs,chocolate-toxicity-calculator-for-dogs,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,Chocolate Toxicity Calculator for Dogs: How to Know If Your Dog Is in Danger,High,published,2026-07-28,
how much chocolate can a dog eat,how-much-chocolate-can-a-dog-eat,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,How Much Chocolate Can a Dog Eat Before It's Dangerous?,High,published,2026-07-28,
signs of chocolate poisoning in dogs,signs-of-chocolate-poisoning-in-dogs,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,Signs of Chocolate Poisoning in Dogs: What to Watch For,High,published,2026-08-01,
what to do if dog eats chocolate,what-to-do-if-dog-eats-chocolate,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,What to Do If Your Dog Eats Chocolate: A Step-by-Step Emergency Plan,High,published,2026-08-01,
chocolate toxicity calculator by weight,chocolate-toxicity-calculator-by-weight,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,Chocolate Toxicity Calculator by Weight: Why Size Changes Everything,High,pending,,
is dark chocolate worse for dogs,is-dark-chocolate-worse-for-dogs,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,Is Dark Chocolate Worse for Dogs? Theobromine by Chocolate Type,High,pending,,
how long does chocolate stay in a dog's system,how-long-does-chocolate-stay-in-a-dog-s-system,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,How Long Does Chocolate Stay in a Dog's System?,High,pending,,
can a small amount of chocolate kill a dog,can-a-small-amount-of-chocolate-kill-a-dog,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,Can a Small Amount of Chocolate Kill a Dog? Dose Thresholds Explained,High,pending,,
chocolate toxicity calculator mg/kg,chocolate-toxicity-calculator-mg-kg,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,Chocolate Toxicity in mg/kg: The Number Vets Actually Use,High,pending,,
my dog ate a chocolate chip cookie,my-dog-ate-a-chocolate-chip-cookie,chocolate,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|blog/chocolate-toxicity-guide.html,My Dog Ate a Chocolate Chip Cookie: Should You Panic?,High,pending,,
